"Source:","/Users/computerman/Documents/NTNU/05_H23/TDT4295/kule-pcb/PCB/PCB.kicad_sch"
"Date:","2023 October 03, Tuesday 15:30:13"
"Tool:","Eeschema 7.0.7"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","166"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C47, C54, C62, C69, C76, C83, C84","7","47u","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"D2","1","MBR0520","MBR0520","Diode_SMD:D_SOD-123","20V 0.5A Schottky Power Rectifier Diode, SOD-123","",""
"DEBUG_HEADER1","1","FTSH-110-01-L-DV-007","FTSH-110-01-L-DV-007","FTSH-110-01-L-DV-007:SAMTEC_FTSH-110-01-L-DV-007","","",""
"H1","1","EFM32GG332F1024-QFP64","EFM32GG332F1024-QFP64","efm32:QFP50P1200X1200X120-64N","Silicon Labs EFM32GG332F1024-QFP64, 32bit ARM Cortex M3 Microcontroller, 48MHz, 1024 kB Flash, 64-Pin TQFP","",""
"IC1","1","S25FL256LAGMFI003","S25FL256LAGMFI003","LIB_S25FL256LAGMFI003:SOIC127P1030X265-16N","CYPRESS SEMICONDUCTOR - S25FL256LAGMFI003 - FLASH MEMORY, 256MBIT, SOIC-16","",""
"IC2","1","LT1932ES6#TRMPBF","LT1932ES6#TRMPBF","ledDriver:SOT95P280X100-6N","IC LED DRIVER RGLTR DIM TSOT23-6","",""
"J1","1","0878311420","0878311420","0878311420_fpga-debub:0878311420","Headers & Wire Housings 2.00MM HDR 02X07P VT TH 15AU","",""
"J2","1","USB_B_Micro","USB_B_Micro","10118193-0001LF:AMPHENOL_10118193-0001LF","USB Micro Type B connector","",""
"J3","1","FTS-102-02-F-DV-TR","FTS-102-02-F-DV-TR","4pinHeader:FTS-102-YY-XX-DV-TR","4 Position, Micro Low Profile Header Strip, Double-Row, Vertical Surface Mount","",""
"J4","1","62684-402100ALF","62684-402100ALF","screenconnect:62684402100ALF","0.50mm Flex Connector, OPU Series, 40 Position , Side Entry, Upper Side Contact, Surface Mount, ZIF ","",""
"J5","1","L77HDE15SD1CH4FVGA","L77HDE15SD1CH4FVGA","vga:CONN_L77HDE15SD1CH4FVGA_AMP","","",""
"J6","1","USB1130-15-A_REVA","USB1130-15-A_REVA","USB1130-15-A_REVA:GCT_USB1130-15-A_REVA","","",""
"J7","1","FTSH-104-01-F-DV","FTSH-104-01-F-DV","8pinHeader:FTSH-104-XX-YYY-DV","8 Position, High Reliability Header Strips, 0.050&quot; pitch","",""
"JP1, JP2, JP3","3","Jumper_2_Bridged","Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","Jumper, 2-pole, closed/bridged","",""
"L1, L2","2","1.5u","L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Inductor","",""
"L3","1","2.2u","L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Inductor","",""
"L4","1","6.8u","L","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","Inductor","",""
"R1","1","30.1k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R2, R4, R8","3","22.1k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R3","1","6.81k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R5, R6","2","100k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R7","1","73.2k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R9, R10, R11, R12, R16, R17","6","10k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R13","1","2.4k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R14, R15, R18, R19","4","4.7k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R20","1","330","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R21, R26, R31, R40","4","562","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R22, R27, R32","3","1124","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R23, R28, R33","3","2247","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
